epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202049,2020-12-05,248,SP,Franca,3516200,city,7156,2010.67151,31,215,0,0.03,355901,False,False
202049,2020-12-05,250,SP,Franco da Rocha,3516408,city,3231,2064.64228,17,134,0,0.0415,156492,False,False
202049,2020-12-04,247,SP,Franca,3516200,city,7125,2001.96122,15,215,1,0.0302,355901,False,False
202049,2020-12-04,249,SP,Franco da Rocha,3516408,city,3214,2053.77911,5,134,0,0.0417,156492,False,False
202049,2020-12-03,246,SP,Franca,3516200,city,7110,1997.74656,13,214,0,0.0301,355901,False,False
202049,2020-12-03,248,SP,Franco da Rocha,3516408,city,3209,2050.58406,20,134,0,0.0418,156492,False,False
202049,2020-12-02,245,SP,Franca,3516200,city,7097,1994.09386,21,214,0,0.0302,355901,False,False
202049,2020-12-02,247,SP,Franco da Rocha,3516408,city,3189,2037.80385,17,134,0,0.042,156492,False,False
202049,2020-12-01,244,SP,Franca,3516200,city,7076,1988.19335,28,214,0,0.0302,355901,False,False
202049,2020-12-01,246,SP,Franco da Rocha,3516408,city,3172,2026.94067,18,134,0,0.0422,156492,False,False
202049,2020-11-30,243,SP,Franca,3516200,city,7048,1980.32599,0,214,0,0.0304,355901,False,False
202049,2020-11-30,245,SP,Franco da Rocha,3516408,city,3154,2015.43849,0,134,0,0.0425,156492,False,False
202049,2020-11-29,242,SP,Franca,3516200,city,7048,1980.32599,0,214,0,0.0304,355901,False,False
202049,2020-11-29,244,SP,Franco da Rocha,3516408,city,3154,2015.43849,4,134,0,0.0425,156492,False,False
202048,2020-11-28,241,SP,Franca,3516200,city,7048,1980.32599,8,214,0,0.0304,355901,False,False
202048,2020-11-28,243,SP,Franco da Rocha,3516408,city,3150,2012.88245,8,134,0,0.0425,156492,False,False
202048,2020-11-27,240,SP,Franca,3516200,city,7040,1978.07817,9,214,2,0.0304,355901,False,False
202048,2020-11-27,242,SP,Franco da Rocha,3516408,city,3142,2007.77037,6,134,1,0.0426,156492,False,False
202048,2020-11-26,239,SP,Franca,3516200,city,7031,1975.54938,25,212,0,0.0302,355901,False,False
202048,2020-11-26,241,SP,Franco da Rocha,3516408,city,3136,2003.9363,10,133,2,0.0424,156492,False,False
202048,2020-11-25,238,SP,Franca,3516200,city,7006,1968.52495,37,212,0,0.0303,355901,False,False
202048,2020-11-25,240,SP,Franco da Rocha,3516408,city,3126,1997.5462,8,131,0,0.0419,156492,False,False
